lemma,ngsl_rank,sfi,adjusted_frequency_per_million,hai_familiarity_band
objective,1402,57.84,61,e
moreover,1403,57.84,61,e
onto,1404,57.84,61,e
historical,1405,57.83,61,e
oppose,1406,57.83,61,e
branch,1407,57.82,61,e
vehicle,1408,57.82,61,e
scientist,1409,57.82,60,e
route,1410,57.81,60,e
bind,1411,57.8,60,e
belong,1412,57.8,60,e
taste,1413,57.8,60,e
tonight,1414,57.79,60,e
fashion,1415,57.79,60,e
danger,1416,57.79,60,e
bomb,1417,57.79,60,e
army,1418,57.79,60,e
dangerous,1419,57.77,60,e
decrease,1420,57.76,60,e
hurt,1421,57.76,60,e
council,1422,57.75,60,e
editor,1423,57.74,59,e
normally,1424,57.74,59,e
sight,1425,57.74,59,e
generate,1426,57.73,59,e
gift,1427,57.73,59,e
delivery,1428,57.72,59,e
deny,1429,57.72,59,e
guest,1430,57.72,59,e
anybody,1431,57.71,59,e
bedroom,1432,57.71,59,e
quote,1433,57.71,59,e
climb,1434,57.7,59,e
basically,1435,57.7,59,e
violence,1436,57.69,59,e
minister,1437,57.69,59,e
mainly,1438,57.68,59,e
mouth,1439,57.68,59,e
noise,1440,57.68,59,e
manner,1441,57.67,59,e
gun,1442,57.67,58,e
square,1443,57.67,58,e
occasion,1444,57.65,58,e
familiar,1445,57.64,58,e
ignore,1446,57.64,58,e
destroy,1447,57.64,58,e
affair,1448,57.63,58,e
civil,1449,57.62,58,e
locate,1450,57.62,58,e
citizen,1451,57.62,58,f
temperature,1452,57.61,58,f
gold,1453,57.61,58,f
domestic,1454,57.57,57,f
load,1455,57.57,57,f
belief,1456,57.57,57,f
troop,1457,57.57,57,f
technical,1458,57.56,57,f
remind,1459,57.56,57,f
arrangement,1460,57.56,57,f
skin,1461,57.55,57,f
prison,1462,57.55,57,f
switch,1463,57.55,57,f
acquire,1464,57.54,57,f
corporate,1465,57.53,57,f
fairly,1466,57.53,57,f
wood,1467,57.53,57,f
participate,1468,57.53,57,f
tough,1469,57.53,57,f
tear,1470,57.52,57,f
representative,1471,57.52,57,f
capacity,1472,57.52,57,f
border,1473,57.51,56,f
shake,1474,57.51,56,f
assessment,1475,57.51,56,f
shoe,1476,57.51,56,f
ought,1477,57.5,56,f
ad,1478,57.5,56,f
fee,1479,57.49,56,f
hall,1480,57.49,56,f
regulation,1481,57.48,56,f
escape,1482,57.48,56,f
studio,1483,57.48,56,f
proper,1484,57.47,56,f
relax,1485,57.47,56,f
tourist,1486,57.47,56,f
component,1487,57.47,56,f
afford,1488,57.46,56,f
lawyer,1489,57.46,56,f
suspect,1490,57.45,56,f
cup,1491,57.45,56,f
description,1492,57.45,56,f
confidence,1493,57.44,55,f
industrial,1494,57.42,55,f
complain,1495,57.42,55,f
perspective,1496,57.42,55,f
error,1497,57.42,55,f
arrest,1498,57.42,55,f
assess,1499,57.41,55,f
register,1500,57.4,55,f
asset,1501,57.4,55,f
signal,1502,57.39,55,f
finger,1503,57.38,55,f
relevant,1504,57.38,55,f
explore,1505,57.37,55,f
leadership,1506,57.37,55,f
commitment,1507,57.36,54,f
wake,1508,57.36,54,f
necessarily,1509,57.35,54,f
bright,1510,57.34,54,f
frame,1511,57.34,54,f
slowly,1512,57.34,54,f
bond,1513,57.34,54,f
hire,1514,57.34,54,f
hole,1515,57.33,54,f
tie,1516,57.33,54,f
internal,1517,57.33,54,f
chain,1518,57.32,54,f
literature,1519,57.29,54,f
victim,1520,57.29,54,f
threaten,1521,57.28,53,f
division,1522,57.28,53,f
secure,1523,57.27,53,f
amaze,1524,57.27,53,f
device,1525,57.26,53,f
birth,1526,57.26,53,f
forest,1527,57.26,53,f
label,1528,57.26,53,f
root,1529,57.26,53,f
factory,1530,57.25,53,f
expense,1531,57.25,53,f
channel,1532,57.25,53,f
investigate,1533,57.25,53,f
recommendation,1534,57.24,53,f
rank,1535,57.23,53,f
typical,1536,57.23,53,f
west,1537,57.23,53,f
friendly,1538,57.23,53,f
resident,1539,57.23,53,f
provision,1540,57.23,53,f
concentrate,1541,57.22,53,f
plenty,1542,57.22,53,f
export,1543,57.21,53,f
entirely,1544,57.21,53,f
strongly,1545,57.21,53,f
bridge,1546,57.2,53,f
consist,1547,57.2,52,f
graduate,1548,57.2,52,f
brand,1549,57.19,52,f
moral,1550,57.18,52,f
insist,1551,57.17,52,f
combination,1552,57.17,52,f
abuse,1553,57.17,52,f
ice,1554,57.16,52,f
principal,1555,57.16,52,f
master,1556,57.16,52,f
definitely,1557,57.16,52,f
session,1558,57.16,52,f
grade,1559,57.16,52,f
nevertheless,1560,57.16,52,f
predict,1561,57.15,52,f
previously,1562,57.14,52,f
protection,1563,57.14,52,f
largely,1564,57.14,52,f
wed,1565,57.13,52,f
rent,1566,57.13,52,f
shot,1567,57.12,52,f
appearance,1568,57.12,52,f
reasonable,1569,57.12,52,f
guarantee,1570,57.12,52,f
till,1571,57.12,52,f
theme,1572,57.11,51,f
judgment,1573,57.11,51,f
odd,1574,57.11,51,f
approve,1575,57.1,51,f
loan,1576,57.1,51,f
definition,1577,57.1,51,f
elect,1578,57.09,51,f
atmosphere,1579,57.08,51,f
farmer,1580,57.08,51,f
comparison,1581,57.07,51,f
characteristic,1582,57.07,51,f
license,1583,57.07,51,f
rely,1584,57.07,51,f
narrow,1585,57.07,51,f
succeed,1586,57.06,51,f
identity,1587,57.06,51,f
desk,1588,57.05,51,f
permit,1589,57.04,51,f
seriously,1590,57.04,51,f
wild,1591,57.03,51,f
empty,1592,57.03,50,f
commission,1593,57.02,50,f
unique,1594,57.02,50,f
association,1595,57.01,50,f
instrument,1596,57.01,50,f
investor,1597,57.01,50,f
practical,1598,57.01,50,f
tea,1599,57,50,f
lovely,1600,56.99,50,f
soft,1601,56.99,50,f
row,1602,56.99,50,f
youth,1603,56.99,50,f
lock,1604,56.98,50,f
fuel,1605,56.98,50,f
expectation,1606,56.98,50,f
employment,1607,56.98,50,f
celebrate,1608,56.97,50,f
sexual,1609,56.97,50,f
shoulder,1610,56.96,50,f
breath,1611,56.96,50,f
increasingly,1612,56.96,50,f
import,1613,56.95,50,f
bottle,1614,56.95,50,f
ourselves,1615,56.95,49,f
